order_id,created,region,status,amount,qty,email,coupon
ORD-1000,2026-04-23,north,paid,25.08,1,ana@example.test,SAVE25
ORD-1001,2026-04-08,south,paid,27.59,2,bo@example.test,
ORD-1002,2026-05-19,north,paid,104.12,4,carla@example.test,
ORD-1003,2026-06-05,north,pending,52.36,1,dmitri@example.test,SAVE10
ORD-1004,2026-04-22,east,paid,96.00,1,eve@example.test,
ORD-1005,2026-04-10,north,paid,114.15,1,farid@example.test,
ORD-1006,2026-04-22,south,paid,53.71,3,gwen@example.test,SAVE25
ORD-1007,2026-05-01,west,pending,52.14,1,hiro@example.test,
ORD-1008,2026-04-14,south,pending,34.99,2,ines@example.test,
ORD-1009,2026-05-14,south,pending,55.58,2,jules@example.test,
ORD-1010,2026-05-05,south,paid,150.94,4,kai@example.test,
ORD-1011,2026-04-10,east,paid,221.50,1,lena@example.test,
ORD-1012,2026-04-21,north,paid,15.77,1,marco@example.test,SAVE10
ORD-1013,2026-05-15,north,paid,66.26,2,nia@example.test,
ORD-1014,2026-04-11,south,paid,163.98,3,otto@example.test,SAVE25
ORD-1015,2026-04-24,west,refunded,34.87,1,pia@example.test,SAVE10
ORD-1016,2026-04-19,south,paid,48.85,4,quinn@example.test,
ORD-1017,2026-05-03,west,paid,85.04,2,rosa@example.test,
ORD-1018,2026-05-09,north,pending,135.57,4,sam@example.test,
ORD-1019,2026-04-26,north,paid,23.54,1,tara@example.test,SAVE10
ORD-1020,2026-04-16,north,paid,5.20,2,uma@example.test,
ORD-1021,2026-04-07,west,paid,34.58,3,viktor@example.test,SAVE25
ORD-1022,2026-04-24,north,pending,221.51,1,wei@example.test,SAVE10
ORD-1023,2026-04-23,north,pending,36.14,2,xena@example.test,VIP
ORD-1024,2026-05-01,north,paid,16.88,1,yuri@example.test,
ORD-1025,2026-05-10,north,paid,36.82,1,zoe@example.test,
ORD-1026,2026-05-02,east,paid,43.77,4,amir@example.test,
ORD-1027,2026-05-17,east,pending,44.24,1,bella@example.test,
ORD-1028,2026-04-24,north,paid,51.02,2,cyril@example.test,
ORD-1029,2026-04-28,west,refunded,192.78,4,dana@example.test,
ORD-1030,2026-04-19,north,paid,41.43,1,elio@example.test,
ORD-1031,2026-04-29,east,pending,26.81,1,fran@example.test,
ORD-1032,2026-05-26,east,pending,79.16,3,gita@example.test,VIP
ORD-1033,2026-06-04,north,paid,188.65,5,hank@example.test,
ORD-1034,2026-04-16,north,paid,171.33,2,iris@example.test,
ORD-1035,2026-06-05,east,paid,90.44,1,jon@example.test,SAVE10
ORD-1036,2026-06-04,south,paid,182.65,1,kira@example.test,
ORD-1037,2026-04-18,north,paid,45.99,3,liam@example.test,
ORD-1038,2026-04-20,south,paid,173.22,1,mona@example.test,
ORD-1039,2026-05-26,south,refunded,82.84,3,nils@example.test,
ORD-1040,2026-05-01,north,paid,38.79,5,ana1@example.test,SAVE25
ORD-1041,2026-05-12,south,paid,85.50,2,bo1@example.test,
ORD-1042,2026-05-16,north,paid,47.01,2,carla1@example.test,
ORD-1043,2026-05-03,east,refunded,73.89,5,dmitri1@example.test,
ORD-1044,2026-04-30,south,paid,75.25,1,eve1@example.test,
ORD-1045,2026-05-10,west,refunded,48.44,2,farid1@example.test,
ORD-1046,2026-05-30,east,paid,31.36,1,gwen1@example.test,SAVE10
ORD-1047,2026-05-09,east,pending,35.29,2,hiro1@example.test,
ORD-1048,2026-05-08,north,pending,199.89,3,ines1@example.test,
ORD-1049,2026-04-30,west,pending,36.14,6,jules1@example.test,
ORD-1050,2026-05-01,north,paid,56.22,2,kai1@example.test,
ORD-1051,2026-04-27,north,paid,103.48,2,lena1@example.test,
ORD-1052,2026-04-10,west,pending,202.55,3,marco1@example.test,VIP
ORD-1053,2026-04-21,north,paid,173.74,3,nia1@example.test,
ORD-1054,2026-04-20,north,refunded,94.12,2,otto1@example.test,VIP
ORD-1055,2026-04-27,north,refunded,105.40,1,pia1@example.test,
ORD-1056,2026-04-12,west,paid,157.53,1,quinn1@example.test,
ORD-1057,2026-05-28,north,paid,86.88,2,rosa1@example.test,SAVE10
ORD-1058,2026-04-16,north,paid,55.34,1,sam1@example.test,SAVE25
ORD-1059,2026-04-17,north,paid,47.26,5,tara1@example.test,VIP
ORD-1060,2026-05-02,north,paid,183.09,4,uma1@example.test,
ORD-1061,2026-04-30,east,paid,83.64,4,viktor1@example.test,
ORD-1062,2026-06-06,north,pending,119.44,1,wei1@example.test,SAVE10
ORD-1063,2026-04-14,north,pending,47.93,1,xena1@example.test,SAVE10
ORD-1064,2026-05-20,west,paid,51.35,2,yuri1@example.test,
ORD-1065,2026-04-16,south,paid,196.48,3,zoe1@example.test,
ORD-1066,2026-05-02,north,refunded,55.02,2,amir1@example.test,
